script starting at 28/10/2018 19:47:50 PDT
from this device:
uid=1001(nettraff) gid=1001(nettraff) groups=1001(nettraff)

#ping number in file?

157.240.22.35  , facebook.com                         , 12.104  , 28/10/2018 20:08:26 PDT
172.217.0.33   , navycaptain-therealnavy.blogspot.com , 22.992  , 28/10/2018 20:08:30 PDT
10.0.1.1       , 10.0.1.1                             , 2.445   , 28/10/2018 20:08:42 PDT
216.58.194.206 , google.com                           , 13.887  , 28/10/2018 20:08:44 PDT
98.137.246.7   , yahoo.com                            , 34.407  , 28/10/2018 20:08:46 PDT
104.31.94.59   , aline.com                            , 13.817  , 28/10/2018 20:08:48 PDT
64.28.108.203  , vatican.com                          , 58.170  , 28/10/2018 20:08:59 PDT
157.240.22.35  , facebook.com                         , 13.983  , 28/10/2018 20:09:07 PDT
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 12.969  , 28/10/2018 20:09:09 PDT
10.0.1.1       , 10.0.1.1                             , 3.885   , 28/10/2018 20:09:21 PDT
216.58.194.206 , google.com                           , 15.291  , 28/10/2018 20:09:23 PDT
98.137.246.7   , yahoo.com                            , 32.716  , 28/10/2018 20:09:25 PDT
104.31.94.59   , aline.com                            , 14.516  , 28/10/2018 20:09:27 PDT
64.28.108.203  , vatican.com                          , 61.879  , 28/10/2018 20:09:44 PDT
157.240.22.35  , facebook.com                         , 14.214  , 28/10/2018 20:09:46 PDT
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 14.141  , 28/10/2018 20:09:48 PDT
10.0.1.1       , 10.0.1.1                             , 1.089   , 28/10/2018 20:10:00 PDT
216.58.194.206 , google.com                           , 19.645  , 28/10/2018 20:10:02 PDT
98.137.246.7   , yahoo.com                            , 33.555  , 28/10/2018 20:10:04 PDT
104.31.94.59   , aline.com                            , 12.187  , 28/10/2018 20:10:06 PDT
64.28.108.203  , vatican.com                          , 57.597  , 28/10/2018 20:10:17 PDT
157.240.22.35  , facebook.com                         , 14.074  , 28/10/2018 20:10:19 PDT
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 13.498  , 28/10/2018 20:10:21 PDT
10.0.1.1       , 10.0.1.1                             , 1.226   , 28/10/2018 20:10:33 PDT
216.58.194.206 , google.com                           , 16.082  , 28/10/2018 20:10:35 PDT
98.137.246.7   , yahoo.com                            , 31.297  , 28/10/2018 20:10:37 PDT
104.31.94.59   , aline.com                            , 14.427  , 28/10/2018 20:10:40 PDT
64.28.108.203  , vatican.com                          , 61.621  , 28/10/2018 20:10:51 PDT
157.240.22.35  , facebook.com                         , 13.573  , 28/10/2018 20:10:53 PDT
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 14.351  , 28/10/2018 20:10:55 PDT
10.0.1.1       , 10.0.1.1                             , 1.743   , 28/10/2018 20:11:07 PDT
216.58.194.206 , google.com                           , 13.338  , 28/10/2018 20:11:09 PDT
98.137.246.7   , yahoo.com                            , 32.711  , 28/10/2018 20:11:11 PDT
104.31.94.59   , aline.com                            , 16.435  , 28/10/2018 20:11:13 PDT
64.28.108.203  , vatican.com                          , 56.648  , 28/10/2018 20:11:24 PDT
157.240.22.35  , facebook.com                         , 12.777  , 28/10/2018 20:11:26 PDT
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 16.243  , 28/10/2018 20:11:28 PDT
10.0.1.1       , 10.0.1.1                             , 1.158   , 28/10/2018 20:11:40 PDT
216.58.194.206 , google.com                           , 13.493  , 28/10/2018 20:11:43 PDT
98.137.246.7   , yahoo.com                            , 33.947  , 28/10/2018 20:11:45 PDT
104.31.94.59   , aline.com                            , 13.199  , 28/10/2018 20:11:47 PDT
64.28.108.203  , vatican.com                          , 59.734  , 28/10/2018 20:11:58 PDT
157.240.22.35  , facebook.com                         , 13.855  , 28/10/2018 20:12:00 PDT
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 13.515  , 28/10/2018 20:12:02 PDT
10.0.1.1       , 10.0.1.1                             , 2.775   , 28/10/2018 20:12:14 PDT
216.58.194.206 , google.com                           , 18.427  , 28/10/2018 20:12:16 PDT
98.137.246.7   , yahoo.com                            , 31.419  , 28/10/2018 20:12:18 PDT
104.31.94.59   , aline.com                            , 13.902  , 28/10/2018 20:12:20 PDT
64.28.108.203  , vatican.com                          , 59.574  , 28/10/2018 20:12:31 PDT
157.240.22.35  , facebook.com                         , 12.483  , 28/10/2018 20:12:33 PDT
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 12.595  , 28/10/2018 20:12:35 PDT
10.0.1.1       , 10.0.1.1                             , 9.159   , 28/10/2018 20:12:48 PDT
216.58.194.206 , google.com                           , 13.272  , 28/10/2018 20:12:50 PDT
98.137.246.7   , yahoo.com                            , 32.647  , 28/10/2018 20:12:52 PDT
104.31.94.59   , aline.com                            , 13.383  , 28/10/2018 20:12:54 PDT
64.28.108.203  , vatican.com                          , 57.490  , 28/10/2018 20:13:05 PDT
157.240.22.35  , facebook.com                         , 14.151  , 28/10/2018 20:13:07 PDT
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 15.307  , 28/10/2018 20:13:09 PDT
10.0.1.1       , 10.0.1.1                             , 1.732   , 28/10/2018 20:13:21 PDT
216.58.194.206 , google.com                           , 18.431  , 28/10/2018 20:13:23 PDT
98.137.246.7   , yahoo.com                            , 40.597  , 28/10/2018 20:13:25 PDT
104.31.94.59   , aline.com                            , 18.273  , 28/10/2018 20:13:32 PDT
64.28.108.203  , vatican.com                          , 58.886  , 28/10/2018 20:13:43 PDT
157.240.22.35  , facebook.com                         , 13.854  , 28/10/2018 20:13:46 PDT
216.58.194.193 , navycaptain-therealnavy.blogspot.com , 14.933  , 28/10/2018 20:13:48 PDT
10.0.1.1       , 10.0.1.1                             , 0.880   , 28/10/2018 20:14:00 PDT
216.58.194.206 , google.com                           , 13.225  , 28/10/2018 20:14:02 PDT
98.137.246.7   , yahoo.com                            , 33.633  , 28/10/2018 20:14:04 PDT
104.31.95.59   , aline.com                            , 11.698  , 28/10/2018 20:14:06 PDT
