script starting at 28/10/2018 14:07:52 PDT
from this device:
uid=1001(nettraff) gid=1001(nettraff) groups=1001(nettraff)
64.28.108.203 , vatican.com , 57.518 , 28/10/2018 14:33:59 PDT  
157.240.22.35 , facebook.com , 12.767 , 28/10/2018 14:34:02 PDT  
172.217.0.33 , navycaptain-therealnavy.blogspot.com , 12.294 , 28/10/2018 14:34:04 PDT  
10.0.1.1 , 10.0.1.1 , 1.297 , 28/10/2018 14:34:16 PDT  
216.58.195.78 , google.com , 12.141 , 28/10/2018 14:34:18 PDT  
98.138.219.232 , yahoo.com , 45.862 , 28/10/2018 14:34:20 PDT  
104.31.94.59 , aline.com , 12.830 , 28/10/2018 14:34:22 PDT  
64.28.108.203 , vatican.com , 56.640 , 28/10/2018 14:34:33 PDT  
157.240.22.35 , facebook.com , 12.602 , 28/10/2018 14:34:35 PDT  
172.217.0.33 , navycaptain-therealnavy.blogspot.com , 13.933 , 28/10/2018 14:34:37 PDT  
10.0.1.1 , 10.0.1.1 , 18.246 , 28/10/2018 14:34:49 PDT  
216.58.195.78 , google.com , 13.158 , 28/10/2018 14:34:51 PDT  
98.138.219.232 , yahoo.com , 45.989 , 28/10/2018 14:34:53 PDT  
104.31.94.59 , aline.com , 497.094 , 28/10/2018 14:34:56 PDT  
